date,player,market,line,predicted_side,predicted_prob,predicted_ev,actual_value,hit,grade,feat_ema,feat_std,feat_sma_5,feat_sma_10,feat_trend,feat_avg_minutes,feat_mins_trend,feat_hit_rate_l5,feat_hit_rate_l10,feat_hit_rate_l15,feat_hit_rate_season,feat_hit_rate_weighted,feat_coef_variation,feat_pace_mult,feat_def_mult,feat_position_mult,feat_base_matchup_mult,feat_combined_matchup_mult,feat_split_factor,feat_rest_factor,feat_blowout_factor,feat_usage_mult,feat_games_played,feat_is_home,feat_is_b2b,feat_spread,feat_days_rest,feat_game_total,feat_opponent_drtg_season,feat_opponent_drtg_l5,feat_data_quality_score,player_id
2025-11-05,Santi Aldama,PTS,11.266666666666667,UNDER,0.6355,0.2138049999999999,16,0,A,12.449238001364165,4.589843860815601,12.2,10.1,0.024691358024691468,26.266666666666666,0.9771573604060915,0.6,0.4,0.4,0.4794520547945205,0.41451241198498306,0.368684722736657,0.9642846510335521,0.982764623955432,0.948,0.97537263478668,0.964423580872008,1.0007415647015203,1.0,1.0,1.0,73,1,0,2.44,1,228.6315,112.9,112.9,100,1630583
2025-11-07,Santi Aldama,PTS,10.933333333333334,OVER,0.5193,-0.00813700000000006,16,1,D,12.488281809977934,3.972524686009186,12.6,11.2,0.32307692307692304,25.666666666666668,1.0,0.8,0.6,0.5333333333333333,0.5675675675675675,0.621841883584304,0.3181001795487353,1.0145977433536109,0.9845055710306407,0.995,0.9965424399598288,0.9959254639758973,1.0027322404371586,1.0,1.0,1.0,74,1,0,-2.32,1,234.462,113.1,113.1,100,1630583
2025-11-09,Santi Aldama,PTS,10.8,OVER,0.5664,0.08182400000000001,12,1,A,11.712842260083562,3.7454734585325027,13.0,12.0,0.55,25.533333333333335,1.0052219321148825,0.8,0.7,0.5333333333333333,0.5733333333333334,0.6578283863330798,0.3197749423550917,1.004674056505473,0.910515320334262,0.968,0.9481788148027464,0.9561072888816478,1.0045508508112386,1.0,1.0,1.0,75,1,0,4.52,1,233.31199999999998,104.6,104.6,100,1630583
2025-11-11,Santi Aldama,PTS,11.0,OVER,0.6675,0.27492499999999986,19,1,A,11.748736977573117,3.722518348798681,14.0,12.7,0.5166666666666666,25.533333333333335,1.0966057441253263,0.8,0.7,0.4666666666666667,0.5,0.593592430200864,0.3168441302162528,0.9857198146255297,0.9932103064066854,0.98,0.9902141096942231,0.9861284658165338,0.9955432633057235,1.0,1.0,1.0,76,0,0,4.24,1,231.11549999999997,114.1,114.1,100,1630583
2025-11-12,Santi Aldama,PTS,11.666666666666666,OVER,0.5832,0.11391200000000001,14,1,A,12.925012482853617,4.203173404306163,14.8,13.3,0.4769230769230768,25.933333333333334,1.1311053984575834,0.8,0.7,0.5333333333333333,0.5064935064935064,0.6595995272580605,0.32519685453937575,0.9564449384235232,0.9949512534818943,0.975,0.9795487274585458,0.9777292364751274,0.9992066965751176,0.95,1.0,1.0,77,0,1,4.279999999999999,0,227.72299999999996,114.3,114.3,100,1630583
2025-11-15,Santi Aldama,PTS,11.866666666666667,OVER,0.7207,0.376537,12,1,A,12.249783040065495,4.2403953095144775,15.4,13.8,0.5147058823529411,25.866666666666667,1.0824742268041236,1.0,0.8,0.6,0.5128205128205128,0.7193252185313431,0.34616085000406716,1.0140023221427226,0.9975626740947077,1.025,1.0041385333139137,1.0124831199883482,1.0,1.02,1.0,1.0,78,0,0,2.3600000000000003,2,234.39299999999997,114.6,114.6,100,1630583
2025-11-18,Santi Aldama,PTS,12.333333333333334,OVER,0.6368,0.21628800000000004,10,0,A,12.623361601273018,3.792222617536104,14.6,13.6,0.4285714285714286,25.533333333333335,1.031331592689295,0.6,0.6,0.5333333333333333,0.45569620253164556,0.5601259304568844,0.3004130545665168,1.0000099236868483,0.9749303621169918,0.973,0.9849621867449343,0.9801773120469606,0.999746963562753,1.02,1.0,1.0,79,0,0,4.24,2,232.77149999999997,112.0,112.0,100,1630583
2025-11-20,Santi Aldama,PTS,12.466666666666667,OVER,0.5683,0.085453,29,1,A,11.89063995989818,3.6619016657365075,13.4,13.2,0.2857142857142856,25.6,0.9765625,0.4,0.5,0.5333333333333333,0.45,0.5068229006895968,0.30796506143373836,1.0066587938751006,1.0393454038997216,1.034,1.0262707598898733,1.029362455933924,1.001515852217255,1.0,1.0,1.0,80,1,0,-4.92,1,233.54199999999997,119.4,119.4,100,1630583
2025-11-22,Santi Aldama,PTS,14.066666666666666,OVER,0.5789,0.10569899999999988,20,1,A,15.108780474819469,5.119523787377475,16.8,15.4,0.3493975903614457,25.866666666666667,1.018041237113402,0.4,0.5,0.3333333333333333,0.37037037037037035,0.3824641446883522,0.3388442764066732,1.0145977433536109,0.9845055710306407,0.995,0.9965424399598288,0.9959254639758973,0.9905360153893652,1.0,1.0,1.0,81,0,0,0.08000000000000007,1,234.462,113.1,113.1,100,1630583
2025-11-24,Santi Aldama,PTS,14.533333333333333,OVER,0.6194,0.18305399999999983,12,0,A,15.180447660512755,5.330058518395817,17.0,15.9,0.34883720930232553,26.866666666666667,1.1042183622828785,0.4,0.5,0.4,0.3780487804878049,0.46856275452056034,0.351113395177424,0.9973305282378511,1.0045264623955434,0.98,1.0016480887324666,0.9929888532394799,1.0061365807067815,1.0,1.0,1.0,82,1,0,2.4799999999999995,1,232.46099999999996,115.4,115.4,100,1630583
2025-11-26,Santi Aldama,PTS,14.733333333333333,OVER,0.6463,0.2344329999999999,14,0,A,15.45756077164151,5.161210636865661,16.6,16.0,0.24731182795698925,27.666666666666668,1.1566265060240963,0.4,0.5,0.4,0.37349397590361444,0.42397311298820095,0.33389554232479124,1.0108267423513184,1.0332520891364905,1.026,1.0242819504224216,1.024969170253453,0.9945141418229236,1.0,1.0,1.0,83,0,0,-1.2399999999999998,1,234.02499999999998,118.7,118.7,100,1630583
2025-11-28,Santi Aldama,PTS,14.733333333333333,OVER,0.5992,0.14447199999999982,13,0,A,15.275365675186322,5.161210636865661,17.0,15.8,0.2197802197802199,27.8,1.1031175059952039,0.4,0.4,0.4,0.36904761904761907,0.38362673687291193,0.33787804145662176,0.9623991505324059,1.0271587743732593,1.004,1.001254924836918,1.0023529549021508,0.9951992891046619,1.0,1.0,1.0,84,0,0,-0.039999999999999855,1,228.41299999999998,118.0,118.0,100,1630583
2025-11-30,Santi Aldama,PTS,14.666666666666666,OVER,0.5352,0.022231999999999974,7,0,B,14.046408269618041,5.1777914026661795,17.6,15.5,0.14583333333333326,27.2,0.9681372549019608,0.4,0.3,0.4,0.36470588235294116,0.3471198260816461,0.36862031227339354,1.0066587938751006,1.0393454038997216,1.034,1.0262707598898733,1.029362455933924,0.99540641218818,1.0,1.0,1.0,85,0,0,-2.5200000000000005,1,233.54199999999997,119.4,119.4,100,1630583
2025-12-02,Santi Aldama,PTS,14.666666666666666,UNDER,0.6544,0.2499039999999999,4,1,A,14.245077745824346,5.1777914026661795,13.2,15.0,0.01941747572815533,26.933333333333334,0.8415841584158417,0.2,0.3,0.4,0.36046511627906974,0.31408700718080795,0.3634793361646582,1.0000099236868483,0.9749303621169918,0.973,0.9849621867449343,0.9801773120469606,0.9930771576700212,1.0,1.0,1.0,86,0,0,4.24,1,232.77149999999997,112.0,112.0,100,1630583
2025-12-05,Santi Aldama,PTS,13.933333333333334,UNDER,0.6292,0.20177199999999995,7,1,A,12.424707772642023,5.861090423494672,10.0,13.5,-0.01000000000000012,26.666666666666668,0.85,0.2,0.4,0.4666666666666667,0.42528735632183906,0.3974145200943904,0.4717286338436235,0.9623991505324059,1.0271587743732593,1.004,1.001254924836918,1.0023529549021508,1.0116281655068147,1.02,1.0,1.0,87,1,0,-2.44,2,228.41299999999998,118.0,118.0,100,1630583
2025-12-07,Santi Aldama,PTS,13.666666666666666,UNDER,0.6165,0.1775150000000001,22,0,A,12.42128836975462,6.09058602231658,9.0,12.8,-0.2222222222222222,26.8,0.8830845771144279,0.2,0.3,0.4666666666666667,0.42045454545454547,0.3595955282522081,0.4903344839128711,1.0176740862765334,1.0149721448467968,1.021,1.0160529214186913,1.0180317528512148,1.0086266390614216,1.0,1.0,1.0,88,1,0,-2.3600000000000003,1,234.81849999999997,116.6,116.6,100,1630583
2025-12-12,Santi Aldama,PTS,14.066666666666666,OVER,0.5141,-0.018069000000000057,22,1,D,13.618627323535293,6.441679757271243,10.6,13.8,-0.2946428571428571,26.933333333333334,0.952970297029703,0.2,0.3,0.3333333333333333,0.3595505617977528,0.30546616242890473,0.47300506903063055,1.0237275352538975,1.0576253481894151,1.07,1.044066223015208,1.054439733809125,1.0128464620595645,1.03,1.0,1.0,89,1,0,-3.6799999999999997,4,235.51999999999998,121.5,121.5,100,1630583
2025-12-15,Santi Aldama,PTS,14.466666666666667,OVER,0.5632,0.075712,3,0,A,14.126563653139101,6.7492503992947945,12.4,15.0,-0.23275862068965525,27.466666666666665,1.0800970873786409,0.4,0.4,0.3333333333333333,0.36666666666666664,0.3715597956735637,0.47777014743391083,0.9623991505324059,1.0271587743732593,1.004,1.001254924836918,1.0023529549021508,0.9840175730949856,1.02,1.0,1.0,90,0,0,-0.039999999999999855,2,228.41299999999998,118.0,118.0,100,1630583
2025-12-17,Santi Aldama,PTS,13.866666666666667,UNDER,0.5687,0.08621699999999988,8,1,A,13.680279892666704,7.356888576280705,11.6,12.4,-0.3275862068965518,27.533333333333335,1.1501210653753027,0.4,0.4,0.4666666666666667,0.42857142857142855,0.43041411675914487,0.5377732498166471,1.0027885560043268,0.9766713091922007,0.985,0.9871182079170511,0.9862709247502306,0.9802576852690538,1.0,1.0,1.0,91,0,0,3.2400000000000007,1,233.09349999999998,112.2,112.2,100,1630583
2025-12-20,Santi Aldama,PTS,13.133333333333333,UNDER,0.5197,-0.007372999999999963,37,0,D,12.295575837390516,7.356888576280705,12.4,11.2,-0.3423423423423424,27.8,1.2110311750599518,0.4,0.3,0.4,0.42391304347826086,0.36212249470919305,0.5983362368363915,1.0123152953785393,1.0680710306406687,1.069,1.0457687365358168,1.0550612419214902,1.0231782884932152,1.02,1.0,1.0,92,1,0,-5.880000000000001,2,234.1975,122.7,122.7,100,1630583
2025-12-22,Santi Aldama,PTS,14.666666666666666,UNDER,0.5519,0.05412899999999987,9,1,A,15.113761230239561,9.60406659900353,18.4,13.7,-0.0636363636363636,28.6,1.177156177156177,0.6,0.3,0.3333333333333333,0.3655913978494624,0.3730218612329697,0.6354517881219235,1.004674056505473,0.910515320334262,0.968,0.9481788148027464,0.9561072888816478,0.9689851588628763,1.0,1.0,1.0,93,0,0,6.919999999999999,1,233.31199999999998,104.6,104.6,100,1630583
2025-12-23,Santi Aldama,PTS,14.466666666666667,UNDER,0.5401,0.03159099999999998,37,0,B,14.079673448982476,9.69437735911659,15.8,13.2,0.028571428571428692,28.6,1.1072261072261071,0.4,0.3,0.3333333333333333,0.3617021276595745,0.3375241377890083,0.6885370881820553,1.0237275352538975,1.0576253481894151,1.07,1.044066223015208,1.054439733809125,0.9680497925311202,0.95,1.0,1.0,94,0,1,-1.28,0,235.51999999999998,121.5,121.5,100,1630583
2025-12-26,Santi Aldama,PTS,16.266666666666666,OVER,0.5216,-0.003744000000000136,12,0,D,19.508456728892497,11.196087752084695,18.8,15.6,0.39393939393939403,29.133333333333333,1.0869565217391306,0.4,0.4,0.4,0.23157894736842105,0.42789935471123985,0.5739094541242218,0.9885976838114898,1.0106197771587744,1.0,1.0018109398198605,1.0010865638919162,1.0243782429772768,1.02,1.0,1.0,95,1,0,-2.3600000000000003,2,231.44899999999998,116.1,116.1,100,1630583
2025-10-27,Jose Alvarado,PTS,11.2,UNDER,0.5433,0.037702999999999987,5,1,B,11.812090728269368,6.304193615590907,14.2,12.9,0.7241379310344827,25.066666666666666,0.7978723404255319,0.8,0.6,0.4666666666666667,0.40350877192982454,0.5557158945959487,0.5337068399333703,0.9564449384235232,0.9949512534818943,0.973,0.9795487274585458,0.9769292364751274,1.0346614257638023,1.02,1.0,1.0,57,1,0,4.32,2,227.976,114.3,114.3,100,1630631
2025-10-29,Jose Alvarado,PTS,10.733333333333333,UNDER,0.579,0.10588999999999993,3,1,A,10.285910318542847,6.49688570082034,9.8,12.4,0.6607142857142858,24.866666666666667,0.7908847184986596,0.6,0.6,0.4,0.43103448275862066,0.475500231842362,0.6316296272881292,0.9973305282378511,1.0045264623955434,0.996,1.0016480887324666,0.9993888532394799,0.9681996086105675,1.0,1.0,1.0,58,0,0,7.32,1,232.714,115.4,115.4,100,1630631
