date,player,market,line,predicted_side,predicted_prob,predicted_ev,actual_value,hit,grade,feat_ema,feat_std,feat_sma_5,feat_sma_10,feat_trend,feat_avg_minutes,feat_mins_trend,feat_hit_rate_l5,feat_hit_rate_l10,feat_hit_rate_l15,feat_hit_rate_season,feat_hit_rate_weighted,feat_coef_variation,feat_pace_mult,feat_def_mult,feat_position_mult,feat_base_matchup_mult,feat_combined_matchup_mult,feat_split_factor,feat_rest_factor,feat_personal_fatigue_factor,feat_blowout_factor,feat_usage_mult,feat_games_played,feat_is_home,feat_is_b2b,feat_spread,feat_days_rest,feat_game_total,feat_opponent_drtg_season,feat_opponent_drtg_l5,feat_data_quality_score,player_id
2025-04-03,Scottie Barnes,PTS,16.533333333333335,UNDER,0.5923,0.131293,5,1,A,14.75113728553356,5.409867527644893,12.8,16.7,-0.017094017094017255,28.4,0.9272300469483569,0.2,0.4,0.4666666666666667,0.6557377049180327,0.40267006208258266,0.36674240249599943,1.0178323297823064,1.0115095816542485,1.012,1.0140386809054718,1.013223208543283,0.9932768391787852,1.0,1.0,1.0,1.0,61,1,0,-3.04,1,232.44949999999997,116.3,116.3,100,1630567
2025-04-09,Scottie Barnes,PTS,16.2,UNDER,0.7152,0.3660319999999998,17,0,A,14.476781821011855,5.966573556070519,11.2,15.2,-0.26016260162601634,28.266666666666666,0.9316037735849056,0.2,0.3,0.4666666666666667,0.6451612903225806,0.3643509392951836,0.4121477846278328,0.9892476675709653,1.0236859652683152,1.05,1.0099106461893752,1.025946387713625,0.9881007691910588,0.908,0.908,1.0,1.0,62,1,0,-2.84,5,229.1375,117.7,117.7,100,1630567
2025-04-11,Scottie Barnes,PTS,16.2,UNDER,0.6525,0.2462749999999999,26,0,A,15.466853162078223,5.966573556070519,11.6,15.3,-0.36296296296296293,27.6,0.857487922705314,0.4,0.4,0.4666666666666667,0.6507936507936508,0.424840945134871,0.3857651904719326,1.0151525176999934,0.9819383643058011,0.979,0.995224025663478,0.9887344153980868,1.0143750542864587,1.0,1.0,1.0,1.0,63,0,0,-0.7600000000000001,1,232.139,112.9,112.9,100,1630567
2025-04-13,Scottie Barnes,PTS,16.466666666666665,UNDER,0.6013,0.1484829999999998,35,0,A,16.243761261864165,6.3230492945217796,13.2,16.3,-0.2666666666666666,27.533333333333335,0.9443099273607748,0.4,0.5,0.4666666666666667,0.65625,0.4795745658358338,0.38926017149528913,1.001852709587772,0.9767199141854868,0.992,0.9867730323464009,0.9888638194078405,1.017118597644481,1.0,1.0,1.0,1.0,64,0,0,2.92,1,230.59799999999996,112.3,112.3,100,1630567
2025-10-22,Scottie Barnes,PTS,17.6,UNDER,0.5792,0.10627200000000003,22,0,A,18.048555849176864,7.935453898261181,18.4,16.9,-0.08461538461538465,28.2,1.0401891252955082,0.4,0.4,0.4,0.5846153846153846,0.4288092641403209,0.4396725125585652,1.0241844769403823,1.0106398399675294,1.027,1.0160576947566704,1.0204346168540022,1.0233561785014944,0.908,0.908,1.0,1.0,65,0,0,0.08000000000000007,191,233.18549999999996,116.2,116.2,100,1630567
2025-10-24,Scottie Barnes,PTS,18.133333333333333,UNDER,0.5447,0.040376999999999885,17,1,B,19.352089250461177,7.945049372018373,21.0,16.9,-0.06106870229007633,28.6,1.1655011655011656,0.6,0.3,0.4,0.5151515151515151,0.44966839288991217,0.41055253875645675,0.9862700985906173,1.0080306149073723,0.997,0.9993264083806703,0.9983958450284022,0.9776756856588789,1.0,1.0,1.0,1.0,66,1,0,-2.84,1,228.79249999999996,115.9,115.9,100,1630567
2025-10-26,Scottie Barnes,PTS,17.933333333333334,OVER,0.51,-0.025900000000000034,33,1,D,18.51834283919925,7.932452932341265,23.4,17.3,0.015503875968992498,29.4,1.1904761904761905,0.6,0.4,0.4,0.582089552238806,0.4345849841532206,0.4283565220290668,1.0151525176999934,0.9819383643058011,0.979,0.995224025663478,0.9887344153980868,1.024653853601859,1.0,1.0,1.0,1.0,67,0,0,-0.7600000000000001,1,232.139,112.9,112.9,100,1630567
2025-10-27,Scottie Barnes,PTS,19.066666666666666,OVER,0.6385,0.2195349999999998,8,0,A,20.328549984299343,8.803137968658566,26.6,19.1,0.2704918032786887,29.8,1.1409395973154361,0.8,0.4,0.4,0.4852941176470588,0.4659209364713412,0.4330430835183831,1.001852709587772,0.9767199141854868,0.992,0.9867730323464009,0.9888638194078405,1.0291586560468735,1.1,1.1,1.0,1.0,68,0,1,2.92,0,230.59799999999996,112.3,112.3,100,1630567
2025-10-29,Scottie Barnes,PTS,18.533333333333335,OVER,0.5184,-0.009856000000000087,31,1,D,20.541620814863336,9.233995162802863,23.0,18.1,0.37391304347826115,29.733333333333334,1.1210762331838566,0.6,0.4,0.4,0.5072463768115942,0.4215826971656248,0.4495261228910138,0.9646330973334214,0.9819383643058011,0.959,0.9750162575168493,0.9686097545101096,0.9765765765765766,1.0,1.0,1.0,1.0,69,1,0,1.72,1,226.28549999999996,112.9,112.9,100,1630567
2025-10-31,Scottie Barnes,PTS,18.666666666666668,OVER,0.6453,0.23252299999999992,14,0,A,20.90438151683543,9.408709237924697,22.2,20.3,0.8901098901098903,29.666666666666668,1.0898876404494382,0.6,0.5,0.4,0.5142857142857142,0.4766263811560202,0.45008311919428734,1.014159994706544,0.9923752645464294,1.023,1.0010891566104752,1.009853493966285,1.019615036036425,1.0,1.0,1.0,1.0,70,0,0,1.48,1,232.02399999999997,114.1,114.1,100,1630567
